,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,112.475983581,10.0,116.472522442,,None,128.475871243,20.0,126.486256759,Right,0,1,0,1.0,8.0,114.482168136
1,30.0,136.484210173,34.0,140.479973515,img/B/outside_man\sun_abccjavmhpzzenxf.png,Outdoor,148.471646484,40.0,146.482016952,NearRight,1,1,1,2.0,32.0,138.473740665
2,46.0,152.484039041,50.0,156.479907372,img/B/inside\sun_abakyssezpogcttw.png,Indoor,164.471565292,56.0,162.481923511,Right,2,1,2,3.0,48.0,154.473661223
3,60.0,166.477766645,64.0,170.473576182,img/B/outside_man\sun_abuxdbyqfhrcggnx.png,Outdoor,178.481852119,70.0,176.475627668,Right,3,1,3,4.0,62.0,168.483984446
4,78.0,184.483894856,82.0,188.479736589,,None,196.47139661,88.0,194.481771277,Right,4,1,4,5.0,80.0,186.473491141
5,92.0,198.477613711,96.0,202.473416949,,None,212.471305969,104.0,210.481672238,Left,5,1,5,6.0,94.0,200.483813664
6,110.0,216.483738772,114.0,220.479665897,img/B/inside\sun_aamrqohnymdzzcsm.png,Indoor,228.471235627,120.0,226.481609944,NearLeft,6,1,6,7.0,112.0,218.473350456
7,124.0,230.477448178,128.0,234.473249666,img/B/outside_man\sun_aaalcefznkjgkkdo.png,Outdoor,242.481523503,134.0,240.475288554,Right,7,1,7,8.0,126.0,232.483646731
8,138.0,244.471280422,142.0,248.483572189,img/B/outside_nat\sun_aagzczontectgtzw.png,Outdoor,256.47522346,148.0,254.46900146,Left,8,1,8,9.0,140.0,246.477350189
9,152.0,258.481497256,156.0,262.477286495,img/B/inside\sun_aaaezlmwnuubqwpb.png,Indoor,270.468917119,162.0,268.479295985,Left,9,1,9,10.0,154.0,260.471040347
10,168.0,274.48136497,172.0,278.477201804,img/B/inside\sun_abfapslzvjbwpbfq.png,Indoor,286.468862174,178.0,284.479222493,NearRight,10,1,10,11.0,170.0,276.471041047
11,182.0,288.475076476,186.0,292.470876564,img/B/outside_man\sun_aaoambggxfqxoibv.png,Outdoor,302.485377651,194.0,300.479131503,NearLeft,11,1,11,12.0,184.0,290.481279578
12,198.0,304.475013132,202.0,308.470806221,,None,316.47905871,208.0,314.472846508,NearLeft,12,1,12,13.0,200.0,306.481208886
13,218.0,324.470711031,222.0,328.483172531,img/B/outside_nat\sun_abfqnimhfodrmbor.png,Outdoor,336.474802454,228.0,334.485205119,NearLeft,13,1,13,14.0,220.0,326.47695508
14,238.0,344.48308504,242.0,348.478891778,img/B/inside\sun_aaxoyiyedszmasjo.png,Indoor,358.476792697,250.0,356.471633535,NearLeft,14,1,14,15.0,240.0,346.472670127
15,258.0,364.478803237,262.0,368.474642171,img/B/inside\sun_aaxzhukkwykojsek.png,Indoor,378.472509844,270.0,376.482917758,Left,15,1,15,16.0,260.0,366.491410321
16,274.0,380.478727995,278.0,384.474562379,img/B/inside\sun_abqowuarvqqcnipn.png,Indoor,394.472466448,286.0,392.482834816,Right,16,1,16,17.0,276.0,382.484979392
17,290.0,396.478647853,294.0,400.474510935,,None,408.482758174,300.0,406.476542823,NearRight,17,1,17,18.0,292.0,398.484881053
18,304.0,410.472341511,308.0,414.484792512,img/B/inside\sun_abslarjcldcebort.png,Indoor,422.476461981,314.0,420.470214433,NearRight,18,1,18,19.0,306.0,412.478550563
19,322.0,428.47848302,326.0,432.474340153,,None,440.482595441,332.0,438.476344743,Left,19,1,19,20.0,324.0,430.484703621
20,338.0,444.478408828,342.0,448.474249162,img/B/outside_nat\sun_aalzlpkakxhogvru.png,Outdoor,460.478319237,352.0,458.472101786,NearRight,20,1,20,21.0,340.0,446.484628379
21,362.0,468.469963859,366.0,472.482393162,,None,480.474083279,372.0,478.484456897,NearRight,21,1,21,22.0,364.0,470.476206158
22,376.0,482.480300731,380.0,486.476129166,,None,496.474000688,388.0,494.484368356,NearLeft,22,1,22,23.0,378.0,484.469879868
23,392.0,498.480224789,396.0,502.476054274,img/B/outside_nat\sun_aaansjgvhbrbxvvk.png,Outdoor,512.473915647,404.0,510.484310262,Left,23,1,23,24.0,394.0,500.469795527
