,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,1039.08288296,10.0,1043.07865087,,None,1051.08689283,16.0,1049.0807006,Left,0,1,0,1.0,8.0,1041.0913734
1,26.0,1059.09822286,30.0,1063.09113682,img/A/inside\sun_biumuljdnxnqtlcf.png,Indoor,1071.08259879,36.0,1069.09484817,NearLeft,1,1,1,2.0,28.0,1061.08470556
2,40.0,1073.08877633,44.0,1077.08454353,,None,1085.09279459,50.0,1083.08659536,NearLeft,2,1,2,3.0,42.0,1075.07834815
3,54.0,1087.08241191,58.0,1091.09573777,,None,1103.08226318,68.0,1101.09264131,NearRight,3,1,3,4.0,56.0,1089.08860484
4,74.0,1107.09467039,78.0,1111.09046279,img/A/outside_man\sun_bezqwfdkvrlqbokm.png,Outdoor,1121.08830038,86.0,1119.08211059,NearLeft,4,1,4,5.0,76.0,1109.08424256
5,92.0,1125.08411378,96.0,1129.07993138,img/A/outside_nat\sun_bkkgqovtrozgolhf.png,Outdoor,1137.08816599,102.0,1135.08196361,NearRight,5,1,5,6.0,94.0,1127.09033506
6,108.0,1141.08395805,112.0,1145.0797795,,None,1153.08800956,118.0,1151.08179808,Right,6,1,6,7.0,110.0,1143.09017827
7,124.0,1157.08381631,128.0,1161.07960556,img/A/inside\sun_ahixsbikiamkdlxa.png,Indoor,1169.08786502,134.0,1167.08165284,Right,7,1,7,8.0,126.0,1159.09001029
8,142.0,1175.0899396,146.0,1179.08566866,img/A/inside\sun_agxipqjrftuwlwpl.png,Indoor,1187.09390887,152.0,1185.08769809,Left,8,1,8,9.0,144.0,1177.07945683
9,156.0,1189.08350869,160.0,1193.07932839,,None,1201.08756651,166.0,1199.08134523,Left,9,1,9,10.0,158.0,1191.08971352
10,170.0,1203.09378254,174.0,1207.08957494,img/A/outside_nat\sun_bzvypibloyofysgl.png,Outdoor,1217.08738418,182.0,1215.0811419,Left,10,1,10,11.0,172.0,1205.08331831
11,186.0,1219.09362575,190.0,1223.08939366,,None,1231.08103691,196.0,1229.09142974,NearLeft,11,1,11,12.0,188.0,1221.08318533
12,200.0,1233.08725049,204.0,1237.08305374,img/A/inside\sun_anikjvdrxrywuyvr.png,Indoor,1245.09130515,210.0,1243.08504608,NearRight,12,1,12,13.0,202.0,1235.09345147
13,218.0,1251.09397047,222.0,1255.08911614,img/A/inside\sun_baremcyvmmyztjyo.png,Indoor,1263.08073314,228.0,1261.09111477,NearRight,13,1,13,14.0,220.0,1253.08288121
14,238.0,1271.08910144,242.0,1275.08476996,img/A/inside\sun_akrccmohqijaceco.png,Indoor,1285.08259529,250.0,1283.09298847,Right,14,1,14,15.0,240.0,1273.09521353
15,254.0,1287.08881587,258.0,1291.08462962,img/A/outside_man\sun_bfzqcqgupixpwrjl.png,Outdoor,1299.09289503,264.0,1297.08664506,Left,15,1,15,16.0,256.0,1289.09499865
16,268.0,1301.08251375,272.0,1305.09490486,,None,1313.08647147,278.0,1311.08025614,Right,16,1,16,17.0,270.0,1303.08869723
17,282.0,1315.09274105,286.0,1319.08851035,img/A/outside_man\sun_amiicpnvbwxskvmh.png,Outdoor,1329.08634059,294.0,1327.08012246,NearRight,17,1,17,18.0,284.0,1317.08224393
18,298.0,1331.09279424,302.0,1335.08833992,img/A/outside_nat\sun_bgdsdzkbpjwsdvzg.png,Outdoor,1345.08618206,310.0,1343.09653079,NearLeft,18,1,18,19.0,300.0,1333.08212669
19,320.0,1353.09441527,324.0,1357.09021852,img/A/inside\sun_asizwxdltgasvzue.png,Indoor,1365.08183377,330.0,1363.0922287,NearLeft,19,1,19,20.0,322.0,1355.08400319
20,336.0,1369.09427248,340.0,1373.09006874,img/A/outside_man\sun_bcwijeqsgwzynmea.png,Outdoor,1383.08788007,348.0,1381.08167174,Right,20,1,20,21.0,338.0,1371.08385236
21,354.0,1387.08369872,358.0,1391.07950897,img/A/outside_nat\sun_bgibqzzsihgolcxc.png,Outdoor,1401.09393372,366.0,1399.08769879,Right,21,1,21,22.0,356.0,1389.08989725
22,370.0,1403.08356679,374.0,1407.07937529,,None,1419.0834163,384.0,1417.09379198,NearRight,22,1,22,23.0,372.0,1405.08974502
23,394.0,1427.09162467,398.0,1431.08743247,img/A/inside\sun_abnptawlxcjefrmi.png,Indoor,1439.07905822,404.0,1437.08946715,Left,23,1,23,24.0,396.0,1429.08118634
