,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,1098.01735848,10.0,1102.01311694,img/A/outside_nat\sun_apxdlklioepthkgw.png,Outdoor,1114.01718805,20.0,1112.02756163,Left,0,1,0,1.0,8.0,1100.02351151
1,24.0,1116.02338413,28.0,1120.01919893,,None,1132.02323259,38.0,1130.01700537,NearRight,1,1,1,2.0,26.0,1118.01295385
2,48.0,1140.01485065,52.0,1144.01069135,,None,1152.01885842,58.0,1150.01265534,Left,2,1,2,3.0,50.0,1142.02104148
3,62.0,1154.02510524,66.0,1158.02089695,img/A/inside\sun_abnptawlxcjefrmi.png,Indoor,1168.01873523,74.0,1166.0125178,Left,3,1,3,4.0,64.0,1156.01468897
4,78.0,1170.02495511,82.0,1174.02074506,img/A/outside_man\sun_auprwsaegvmiaiwa.png,Outdoor,1182.01238446,88.0,1180.02277029,NearRight,4,1,4,5.0,80.0,1172.01453043
5,94.0,1186.02480917,98.0,1190.02061558,img/A/outside_man\sun_aqvlqqorjorxjwnh.png,Outdoor,1198.01221823,104.0,1196.02262891,Right,5,1,5,6.0,96.0,1188.01437925
6,112.0,1204.01424381,116.0,1208.02663038,img/A/inside\sun_ahixsbikiamkdlxa.png,Indoor,1218.02449771,124.0,1216.01826803,Right,6,1,6,7.0,114.0,1206.02044025
7,128.0,1220.01409333,132.0,1224.02648724,img/A/outside_man\sun_bcwijeqsgwzynmea.png,Outdoor,1232.01811895,138.0,1230.01191342,Right,7,1,7,8.0,130.0,1222.02029921
8,146.0,1238.02014628,150.0,1242.01597648,,None,1252.01378781,158.0,1250.02418344,Right,8,1,8,9.0,148.0,1240.02635951
9,164.0,1256.02622687,168.0,1260.02203362,img/A/inside\sun_aryhzqtgzrsfoydv.png,Indoor,1268.01364398,174.0,1266.02403926,Left,9,1,9,10.0,166.0,1258.01582844
10,178.0,1270.01986561,182.0,1274.01568251,img/A/inside\sun_bcxxsjdyzkdxyrzz.png,Indoor,1282.02390907,188.0,1280.01767484,NearLeft,10,1,10,11.0,180.0,1272.02607184
11,194.0,1286.01971652,198.0,1290.01553377,,None,1300.01333706,206.0,1298.02375579,Left,11,1,11,12.0,196.0,1288.02591541
12,210.0,1302.01955554,214.0,1306.01539099,,None,1314.02359621,220.0,1312.01737668,NearRight,12,1,12,13.0,212.0,1304.02576142
13,224.0,1316.01318763,228.0,1320.02561479,img/A/inside\sun_ciuexjuasoqmnysa.png,Indoor,1328.01722724,234.0,1326.02763372,NearRight,13,1,13,14.0,226.0,1318.01939141
14,238.0,1330.02345132,242.0,1334.01927067,,None,1342.01087333,248.0,1340.02128505,NearLeft,14,1,14,15.0,240.0,1332.01302979
15,252.0,1344.01707781,256.0,1348.01289436,img/A/inside\sun_atbyxovooehnzemf.png,Indoor,1356.02118567,262.0,1354.01496824,NearLeft,15,1,15,16.0,254.0,1346.02329034
16,266.0,1358.01072459,270.0,1362.02315735,img/A/outside_nat\sun_ahqrsjhcscxlyxuq.png,Outdoor,1372.02099914,278.0,1370.01476281,Left,16,1,16,17.0,268.0,1360.01692207
17,286.0,1378.02301457,290.0,1382.01879577,img/A/inside\sun_abpqxslcljhrwmck.png,Indoor,1390.02703283,296.0,1388.02083535,NearRight,17,1,17,18.0,288.0,1380.01259164
18,306.0,1398.01865754,310.0,1402.01448494,img/A/outside_nat\sun_avyaxgkxlaeedguu.png,Outdoor,1412.01229032,318.0,1410.0227423,NearLeft,18,1,18,19.0,308.0,1400.02485712
19,328.0,1420.02053788,332.0,1424.01633169,,None,1434.01419587,340.0,1432.02454425,NearLeft,19,1,19,20.0,330.0,1422.02674237
20,344.0,1436.02039615,348.0,1440.01618715,img/A/inside\sun_auywjwqsitnzurig.png,Indoor,1448.02442912,354.0,1446.01820084,Right,20,1,20,21.0,346.0,1438.02658698
21,364.0,1456.01603352,368.0,1460.01185182,img/A/outside_man\sun_bjeuogjtlonvfbet.png,Outdoor,1468.02008783,374.0,1466.01397574,NearLeft,21,1,21,22.0,366.0,1458.02229295
22,378.0,1470.02629301,382.0,1474.02211272,,None,1482.01373392,388.0,1480.02411975,Right,22,1,22,23.0,380.0,1472.01587359
23,396.0,1488.01573045,400.0,1492.0115568,img/A/outside_nat\sun_bdtazuhapgwbydoi.png,Outdoor,1500.01978792,406.0,1498.01357119,NearRight,23,1,23,24.0,398.0,1490.02194053
