,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,147.513284789,10.0,151.509119873,img/A/outside_man\sun_bfzqcqgupixpwrjl.png,Outdoor,163.513154602,20.0,161.5069494,NearRight,0,1,0,1.0,8.0,149.519473893
1,24.0,165.519635226,28.0,169.515246684,img/A/outside_nat\sun_atairfpicwcmswbb.png,Outdoor,179.513040864,36.0,177.506844411,Right,1,1,1,2.0,26.0,167.508993886
2,40.0,181.519287012,44.0,185.5150906,img/A/outside_nat\sun_bgqsphccbnklxlqu.png,Outdoor,193.506767069,50.0,191.517154335,Left,2,1,2,3.0,42.0,183.508897996
3,54.0,195.512969822,58.0,199.508817855,,None,207.517060545,64.0,205.510844143,Left,3,1,3,4.0,56.0,197.519176424
4,74.0,215.508699567,78.0,219.504505255,img/A/inside\sun_ahixsbikiamkdlxa.png,Indoor,227.512779441,84.0,225.506533993,NearLeft,4,1,4,5.0,76.0,217.514909669
5,88.0,229.518997243,92.0,233.514796981,img/A/inside\sun_abpqxslcljhrwmck.png,Indoor,241.506474149,98.0,239.51681347,Right,5,1,5,6.0,90.0,231.50858093
6,104.0,245.518859357,108.0,249.514732238,img/A/inside\sun_bzybqfaecwsubwwo.png,Indoor,259.512572263,116.0,257.506357262,Left,6,1,6,7.0,106.0,247.508508137
7,120.0,261.519046238,124.0,265.514636348,img/A/outside_man\sun_aqvlqqorjorxjwnh.png,Outdoor,277.518760317,134.0,275.512466574,Left,7,1,7,8.0,122.0,263.508414347
8,142.0,283.520756159,146.0,287.5165307,,None,295.508240765,152.0,293.518596884,Right,8,1,8,9.0,144.0,285.510927785
9,160.0,301.510270903,164.0,305.506076241,img/A/inside\sun_driyvaqmmhjdxhuk.png,Indoor,313.514357077,170.0,311.508126327,NearLeft,9,1,9,10.0,162.0,303.516446709
10,178.0,319.51643901,182.0,323.512191503,img/A/inside\sun_akapxrydwpdgvlck.png,Indoor,333.510070024,190.0,331.520514334,NearRight,10,1,10,11.0,180.0,321.505975101
11,200.0,341.518340711,204.0,345.514153398,,None,353.505760224,210.0,351.516182136,NearRight,11,1,11,12.0,202.0,343.507936647
12,214.0,355.511977325,218.0,359.507826058,,None,367.517938253,224.0,365.509858996,NearRight,12,1,12,13.0,216.0,357.518200376
13,232.0,373.518473347,236.0,377.513960918,img/A/inside\sun_atkrisvsrzpbgyxu.png,Indoor,387.511811092,244.0,385.505600291,Left,13,1,13,14.0,234.0,375.507752216
14,248.0,389.518119884,252.0,393.513868178,img/A/outside_man\sun_bntjemdeuiznfwzl.png,Outdoor,401.505483403,258.0,399.515872419,NearLeft,14,1,14,15.0,250.0,391.507646527
15,262.0,403.511713803,266.0,407.507578984,,None,415.515810125,272.0,413.509551028,Left,15,1,15,16.0,264.0,405.518495045
16,276.0,417.505387163,280.0,421.517848662,img/A/inside\sun_abxzvqnkfecikftq.png,Indoor,429.509462488,286.0,427.519875651,Right,16,1,16,17.0,278.0,419.511598665
17,294.0,435.511494026,298.0,439.507385804,img/A/inside\sun_bdalroxvuvnihofa.png,Indoor,449.505233529,306.0,447.515610646,NearRight,17,1,17,18.0,296.0,437.517799668
18,310.0,451.511408634,314.0,455.507288514,img/A/outside_man\sun_astlunkqpzghjdau.png,Outdoor,463.515503907,320.0,461.509298355,Right,18,1,18,19.0,312.0,453.517604038
19,324.0,465.50512959,328.0,469.517549794,,None,479.515409417,336.0,477.509164319,Right,19,1,19,20.0,326.0,467.511296296
20,346.0,487.507061388,350.0,491.519515539,img/A/outside_nat\sun_afjxqaxhirjblfsw.png,Outdoor,499.511127614,356.0,497.504898964,NearRight,20,1,20,21.0,348.0,489.513291788
21,360.0,501.517359414,364.0,505.513211646,,None,513.504851369,370.0,511.515240385,NearLeft,21,1,21,22.0,362.0,503.506975647
22,374.0,515.511059721,378.0,519.506911254,,None,527.515160943,384.0,525.508920394,NearLeft,22,1,22,23.0,376.0,517.517276472
23,392.0,533.517166234,396.0,537.512997469,img/A/outside_nat\sun_bszkvmcyydyhpqdu.png,Outdoor,547.510840294,404.0,545.521252407,NearLeft,23,1,23,24.0,394.0,535.506802765
