,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,1203.90509339,10.0,1207.90091029,img/B/inside\sun_0ktvuinccdrmemdb.png,Indoor,1215.909112,16.0,1213.90289702,NearRight,0,1,0,1.0,8.0,1205.89468306
1,20.0,1217.89868068,24.0,1221.89449968,,None,1231.90892687,32.0,1229.90273149,NearRight,1,1,1,2.0,22.0,1219.90490056
2,36.0,1233.8985064,40.0,1237.89434674,,None,1247.90875749,48.0,1245.90255301,Right,2,1,2,3.0,38.0,1235.90471438
3,54.0,1251.90455619,58.0,1255.90038149,img/B/inside\sun_aaeivpaottmutnqm.png,Indoor,1263.90856081,64.0,1261.90234898,NearRight,3,1,3,4.0,56.0,1253.89413222
4,68.0,1265.89873212,72.0,1269.89399223,,None,1279.90841628,80.0,1277.90220095,NearLeft,4,1,4,5.0,70.0,1267.90437946
5,90.0,1287.90001543,94.0,1291.89595167,,None,1299.90409424,100.0,1297.89781137,NearLeft,5,1,5,6.0,92.0,1289.90625946
6,110.0,1307.89566295,114.0,1311.90806282,img/B/outside_man\sun_abumpirxzvwuqwvp.png,Outdoor,1319.89967492,120.0,1317.89347219,NearLeft,6,1,6,7.0,112.0,1309.90184644
7,128.0,1325.90167425,132.0,1329.89747856,img/B/outside_man\sun_aavgffdllieopxov.png,Outdoor,1337.90569882,138.0,1335.89945199,Left,7,1,7,8.0,130.0,1327.90787279
8,142.0,1339.89552262,146.0,1343.90773245,img/B/inside\sun_aaeycnkjwmvweywi.png,Indoor,1351.89932566,152.0,1349.89310753,NearLeft,8,1,8,9.0,144.0,1341.90149717
9,156.0,1353.90550494,160.0,1357.90134074,img/B/inside\sun_abrnurmopsgqkxvn.png,Indoor,1369.90535656,170.0,1367.89912163,Right,9,1,9,10.0,158.0,1355.89569585
10,174.0,1371.89494098,178.0,1375.90735799,img/B/inside\sun_aafkyzekyiexahmz.png,Indoor,1385.90517598,186.0,1383.8989421,Right,10,1,10,11.0,176.0,1373.90115141
11,194.0,1391.90718021,198.0,1395.90298801,img/B/outside_man\sun_aanszwuidyonrpfe.png,Outdoor,1403.89459662,204.0,1401.9049842,NearRight,11,1,11,12.0,196.0,1393.89676708
12,208.0,1405.90079095,212.0,1409.89660295,,None,1419.89441779,220.0,1417.90481097,Left,12,1,12,13.0,210.0,1407.90699053
13,230.0,1427.9026027,234.0,1431.89845985,img/B/inside\sun_abslarjcldcebort.png,Indoor,1441.89625019,242.0,1439.90661712,Left,13,1,13,14.0,232.0,1429.89220848
14,246.0,1443.90243087,250.0,1447.89827297,,None,1455.90650968,256.0,1453.9002828,Left,14,1,14,15.0,248.0,1445.90861751
15,260.0,1457.89605701,264.0,1461.90854331,img/B/inside\sun_aajuhnhxgwkyyrwb.png,Indoor,1469.90010887,270.0,1467.89388479,NearLeft,15,1,15,16.0,262.0,1459.90227759
16,274.0,1471.9063123,278.0,1475.90207321,img/B/outside_man\sun_aajumnzgihznlagm.png,Outdoor,1485.89992724,286.0,1483.91029837,Left,16,1,16,17.0,276.0,1473.89589463
17,294.0,1491.90191818,298.0,1495.89773403,img/B/outside_nat\sun_abdoxebvkrdofyyh.png,Outdoor,1503.90595114,304.0,1501.89975086,Right,17,1,17,18.0,296.0,1493.90812546
18,312.0,1509.90799317,316.0,1513.90374043,img/B/outside_nat\sun_aanfjwabnufovale.png,Outdoor,1521.89535219,322.0,1519.90577406,NearRight,18,1,18,19.0,314.0,1511.89756605
19,326.0,1523.90156997,330.0,1527.89740017,,None,1535.90560538,336.0,1533.8993939,Right,19,1,19,20.0,328.0,1525.9077734
20,342.0,1539.90139673,346.0,1543.89722308,img/B/outside_nat\sun_aacgcodmtsyjjmbx.png,Outdoor,1551.9054206,352.0,1549.89921962,Right,20,1,20,21.0,344.0,1541.90759632
21,356.0,1553.89500432,360.0,1557.90741154,,None,1569.89485209,370.0,1567.90524002,NearRight,21,1,21,22.0,358.0,1555.90120531
22,380.0,1577.9030713,384.0,1581.89886371,img/B/outside_nat\sun_aaivblcmcmxaurgo.png,Outdoor,1589.90707522,390.0,1587.90086094,NearLeft,22,1,22,23.0,382.0,1579.90926494
23,394.0,1591.89669604,398.0,1595.89249019,img/B/inside\sun_aahutlxpfsmsmmqi.png,Indoor,1603.90068526,404.0,1601.89448568,Left,23,1,23,24.0,396.0,1593.90285713
