,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,112.852148646,10.0,116.84589307,img/B/outside_man\sun_abvparldyjthmojd.png,Outdoor,126.845963763,18.0,124.849068278,Right,0,1,0,1.0,8.0,114.84589692
1,22.0,128.84598931,26.0,132.845769884,,None,142.846469808,34.0,140.845797881,NearLeft,1,1,1,2.0,24.0,130.845812929
2,42.0,148.846443561,46.0,152.845686943,img/B/inside\sun_aajprzhesstyaktd.png,Indoor,160.845642847,52.0,158.845652646,Left,2,1,2,3.0,44.0,150.845677494
3,62.0,168.845577404,66.0,172.847076993,img/B/outside_nat\sun_aaansjgvhbrbxvvk.png,Outdoor,180.845530509,72.0,178.845514411,Left,3,1,3,4.0,64.0,170.84626893
4,76.0,182.845515461,80.0,186.845512661,,None,198.845400324,90.0,196.845511262,NearRight,4,1,4,5.0,78.0,184.845494113
5,100.0,206.845389125,104.0,210.84534468,img/B/inside\sun_aampvkbsihnfucrn.png,Indoor,220.845274687,112.0,218.845276087,Right,5,1,5,6.0,102.0,208.84534293
6,116.0,222.845265938,120.0,226.845936816,,None,234.845183697,126.0,232.845172848,Left,6,1,6,7.0,118.0,224.845929466
7,130.0,236.845167599,134.0,240.846070501,img/B/inside\sun_aaqhalpndqfclyti.png,Indoor,250.845138202,142.0,248.845072759,Left,7,1,7,8.0,132.0,238.845135052
8,152.0,258.845027264,156.0,262.844995767,img/B/inside\sun_aaqqcbxvhtgfloyu.png,Indoor,270.845665595,162.0,268.84496812,NearLeft,8,1,8,9.0,154.0,260.845040212
9,166.0,272.845651946,170.0,276.845605751,img/B/outside_nat\sun_aacbgqunsjqeatcv.png,Outdoor,284.844871181,176.0,282.845067509,NearRight,9,1,9,10.0,168.0,274.845622899
10,180.0,286.844856832,184.0,290.844826735,,None,300.844774941,192.0,298.844773891,Right,10,1,10,11.0,182.0,288.844820436
11,202.0,308.84468885,206.0,312.84468815,,None,320.844637406,212.0,318.84459541,NearLeft,11,1,11,12.0,204.0,310.844638106
12,216.0,322.84459331,220.0,326.844588761,img/B/inside\sun_aaguxgrqaehrwaip.png,Indoor,334.844553765,226.0,332.844561464,NearRight,12,1,12,13.0,218.0,324.844590511
13,230.0,336.844539416,234.0,340.844587711,img/B/outside_nat\sun_aamsdbqhyyzabsdt.png,Outdoor,350.844446676,242.0,348.844436877,NearLeft,13,1,13,14.0,232.0,338.84450757
14,250.0,356.844420779,254.0,360.844388583,,None,368.844338888,260.0,366.851536912,NearRight,14,1,14,15.0,252.0,358.844365835
15,264.0,370.844331889,268.0,374.844286744,img/B/inside\sun_aaruuebeoybyaqmu.png,Indoor,382.844248598,274.0,380.844261896,NearLeft,15,1,15,16.0,266.0,372.844289193
16,278.0,384.844237049,282.0,388.844156208,img/B/outside_man\sun_aaalcefznkjgkkdo.png,Outdoor,396.844154458,288.0,394.844216051,Left,16,1,16,17.0,280.0,386.844209752
17,292.0,398.844142559,296.0,402.844125411,img/B/outside_man\sun_aafcenazuuykcysr.png,Outdoor,410.844069067,302.0,408.844032671,NearLeft,17,1,17,18.0,294.0,400.844117712
18,306.0,412.844057868,310.0,416.84404527,img/B/outside_man\sun_abscglgenasvhlpp.png,Outdoor,424.843964428,316.0,422.843942031,NearRight,18,1,18,19.0,308.0,414.844027422
19,324.0,430.843926283,328.0,434.843921733,,None,444.843868539,336.0,442.843852791,Left,19,1,19,20.0,326.0,432.843897936
20,344.0,450.843831793,348.0,454.8437625,img/B/inside\sun_aanbmbnyyowsobsg.png,Indoor,462.843757251,354.0,460.843746402,Right,20,1,20,21.0,346.0,452.843780348
21,360.0,466.843714905,364.0,470.845020615,,None,478.843644213,370.0,476.843600818,Right,21,1,21,22.0,362.0,468.843677459
22,378.0,484.84358262,382.0,488.843561272,img/B/outside_nat\sun_aacegqrsghanpufn.png,Outdoor,496.848907995,388.0,494.843522076,Right,22,1,22,23.0,380.0,486.843555673
23,396.0,502.843471332,400.0,506.843465732,img/B/inside\sun_aaylakcooequagux.png,Indoor,518.843326447,410.0,516.843359694,NearRight,23,1,23,24.0,398.0,504.843463633
