,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,113.049927015,10.0,117.049909517,img/A/outside_nat\sun_bgibqzzsihgolcxc.png,Outdoor,125.0509972,16.0,123.049938564,Right,0,1,0,1.0,8.0,115.061678748
1,20.0,127.049894469,24.0,131.049820627,img/A/inside\sun_atbyxovooehnzemf.png,Indoor,139.04979473,30.0,137.049809778,Left,1,1,1,2.0,22.0,129.049834275
2,34.0,141.049784231,38.0,145.049732436,img/A/outside_man\sun_bjeuogjtlonvfbet.png,Outdoor,153.049716688,44.0,151.049737686,NearRight,2,1,2,3.0,36.0,143.049741885
3,50.0,157.051002799,54.0,161.049653695,,None,169.049624648,60.0,167.049620448,Right,3,1,3,4.0,52.0,159.049648096
4,64.0,171.049660344,68.0,175.049552906,,None,185.049494812,76.0,183.049531208,NearRight,4,1,4,5.0,66.0,173.053756302
5,80.0,187.04951546,84.0,191.049464715,img/A/inside\sun_acfqbzkjnydmqtyi.png,Indoor,199.049426569,90.0,197.049437068,Right,5,1,5,6.0,82.0,189.050951705
6,100.0,207.049361126,104.0,211.049338729,,None,219.049306532,110.0,217.04932473,Left,6,1,6,7.0,102.0,209.049356227
7,118.0,225.049252988,122.0,229.04923094,,None,239.049165847,130.0,237.049174946,NearLeft,7,1,7,8.0,120.0,227.04923094
8,134.0,241.049157798,138.0,245.049130151,img/A/outside_nat\sun_bzvypibloyofysgl.png,Outdoor,255.049069608,146.0,253.049099355,Left,8,1,8,9.0,136.0,243.0491417
9,156.0,263.049016764,160.0,267.050645838,img/A/inside\sun_asizwxdltgasvzue.png,Indoor,277.048936272,168.0,275.048940472,NearLeft,9,1,9,10.0,158.0,265.049030762
10,178.0,285.048915974,182.0,289.04886103,img/A/outside_man\sun_aaafvavryivlwifa.png,Outdoor,299.048828134,190.0,297.048834083,Left,10,1,10,11.0,180.0,287.04886558
11,194.0,301.048875729,198.0,305.048765491,img/A/outside_man\sun_bwlcxhprfyrowoam.png,Outdoor,313.048740643,204.0,311.048725595,NearLeft,11,1,11,12.0,196.0,303.04876759
12,214.0,321.048664002,218.0,325.048638104,img/A/outside_nat\sun_aipbvhhqfltkzbkb.png,Outdoor,333.04858631,224.0,331.048626556,Right,12,1,12,13.0,216.0,323.048662252
13,228.0,335.048576861,232.0,339.048555163,,None,347.048526116,238.0,345.048536965,Left,13,1,13,14.0,230.0,337.048558313
14,246.0,353.048465223,250.0,357.048439326,img/A/outside_man\sun_aadopnnweznhggye.png,Outdoor,365.04839873,256.0,363.048448075,NearLeft,14,1,14,15.0,248.0,355.048448425
15,260.0,367.061600006,264.0,371.048380532,img/A/inside\sun_agvgmjswjlfrnaqe.png,Indoor,381.04831089,272.0,379.048335737,Left,15,1,15,16.0,262.0,369.048369683
16,276.0,383.048291292,280.0,387.048259095,img/A/inside\sun_auipycrgwmfcakvq.png,Indoor,399.048183153,290.0,397.048188053,Right,16,1,16,17.0,278.0,385.048261545
17,294.0,401.048183153,298.0,405.048151657,,None,415.048083764,306.0,413.048092863,NearLeft,17,1,17,18.0,296.0,403.048143258
18,310.0,417.048077815,314.0,421.048038269,,None,429.047992774,320.0,427.04803127,NearRight,18,1,18,19.0,312.0,419.048057867
19,328.0,435.047960577,332.0,439.047974226,,None,447.047889185,338.0,445.047889535,Right,19,1,19,20.0,330.0,437.047945529
20,346.0,453.047849989,350.0,457.047866438,img/A/outside_nat\sun_avyaxgkxlaeedguu.png,Outdoor,465.047782447,356.0,463.047803794,NearRight,20,1,20,21.0,348.0,455.047861188
21,360.0,467.047768448,364.0,471.047771598,img/A/inside\sun_bdalroxvuvnihofa.png,Indoor,479.047679208,370.0,477.047684807,NearRight,21,1,21,22.0,362.0,469.047764949
22,374.0,481.047679908,378.0,485.047652611,img/A/inside\sun_axoigjlwlboezeqx.png,Indoor,497.047574919,388.0,495.047585768,NearRight,22,1,22,23.0,376.0,483.04765891
23,394.0,501.047559871,398.0,505.047552871,img/A/inside\sun_agxipqjrftuwlwpl.png,Indoor,513.047482529,404.0,511.047486729,NearLeft,23,1,23,24.0,396.0,503.04756792
