,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,59.431738987,10.0,63.4275887846,img/B/outside_nat\sun_aaacmydfmcozlpel.png,Outdoor,71.4192411348,16.0,69.4295839194,Right,0,1,0,1.0,8.0,61.4213587565
1,20.0,73.4254368666,24.0,77.4213402085,img/B/inside\sun_abqowuarvqqcnipn.png,Indoor,85.4135101529,30.0,83.4232072571,Left,1,1,1,2.0,22.0,75.4150002922
2,34.0,87.4190528552,38.0,91.4148456089,img/B/outside_nat\sun_aaivblcmcmxaurgo.png,Outdoor,99.4250270608,44.0,97.4720766865,NearRight,2,1,2,3.0,36.0,89.4252398379
3,50.0,103.421536537,54.0,107.415540984,,None,115.422931837,60.0,113.469139803,Right,3,1,3,4.0,52.0,105.427698323
4,64.0,117.413477256,68.0,121.424990315,,None,131.422769804,76.0,129.433229126,NearRight,4,1,4,5.0,66.0,119.418756787
5,80.0,133.429028879,84.0,137.424861529,img/B/inside\sun_aahutlxpfsmsmmqi.png,Indoor,145.416472583,90.0,143.426936455,Right,5,1,5,6.0,82.0,135.418653898
6,100.0,153.424671849,104.0,157.420463553,,None,165.429957679,110.0,163.422491934,Left,6,1,6,7.0,102.0,155.414257322
7,118.0,171.430735645,122.0,175.426558846,,None,185.42438803,130.0,183.4181727,NearLeft,7,1,7,8.0,120.0,173.420936002
8,134.0,187.413973503,138.0,191.426409062,img/B/outside_man\sun_abumpirxzvwuqwvp.png,Outdoor,201.424233346,146.0,199.434640174,Left,8,1,8,9.0,136.0,189.421738466
9,156.0,209.432512404,160.0,213.428327555,img/B/inside\sun_aanzabthnsqaomio.png,Indoor,223.426123843,168.0,221.419904313,NearLeft,9,1,9,10.0,158.0,211.422111875
10,178.0,231.417740147,182.0,235.41354025,img/B/outside_man\sun_accnapeyuiitgzxz.png,Outdoor,245.482902419,190.0,243.477691481,Left,10,1,10,11.0,180.0,233.423937628
11,194.0,247.417609611,198.0,251.413391516,img/B/outside_man\sun_aazepdqhrojqunox.png,Outdoor,259.421613179,204.0,257.415430396,NearLeft,11,1,11,12.0,196.0,249.423809192
12,214.0,267.429882437,218.0,271.425673441,img/B/outside_nat\sun_aaaxbrksvmdyrhpe.png,Outdoor,279.417363937,224.0,277.427682924,Right,12,1,12,13.0,216.0,269.419422065
13,228.0,281.42354882,232.0,285.41938252,,None,293.427603833,238.0,291.437955367,Left,13,1,13,14.0,230.0,283.413138843
14,246.0,299.42958217,250.0,303.425387872,img/B/outside_man\sun_aajuzribjrizdshh.png,Outdoor,311.417026224,256.0,309.429125469,NearLeft,14,1,14,15.0,248.0,301.419153994
15,260.0,313.423216006,264.0,317.419014359,img/B/inside\sun_aaeivpaottmutnqm.png,Indoor,327.41687819,272.0,325.427225174,Left,15,1,15,16.0,262.0,315.412819327
16,276.0,329.42308967,280.0,333.418922669,img/B/inside\sun_abrnurmopsgqkxvn.png,Indoor,345.42290489,290.0,343.438831322,Right,16,1,16,17.0,278.0,331.412660095
17,294.0,347.412526759,298.0,351.424994164,,None,361.422831748,306.0,359.43319203,NearLeft,17,1,17,18.0,296.0,349.41873229
18,310.0,363.429032379,314.0,367.430202303,,None,375.416441437,320.0,373.42688606,NearRight,18,1,18,19.0,312.0,365.418572357
19,328.0,381.420204231,332.0,385.414253473,,None,393.422513632,338.0,391.433879356,Right,19,1,19,20.0,330.0,383.424674999
20,346.0,399.424530464,350.0,403.42030747,img/B/outside_nat\sun_aamepsrqelgzeleo.png,Outdoor,411.431973812,356.0,409.422361048,NearRight,20,1,20,21.0,348.0,401.414101589
21,360.0,413.418154502,364.0,417.413959854,img/B/inside\sun_aaaezlmwnuubqwpb.png,Indoor,425.42225746,370.0,423.432603044,NearRight,21,1,21,22.0,362.0,415.424363182
22,374.0,427.428446892,378.0,431.424271492,img/B/inside\sun_aasdufdzroddfmmw.png,Indoor,443.428235165,388.0,441.422043983,NearRight,22,1,22,23.0,376.0,429.418061412
23,394.0,447.424075513,398.0,451.419894164,img/B/inside\sun_aajspcoepticvplv.png,Indoor,459.428122127,404.0,457.421917646,NearLeft,23,1,23,24.0,396.0,449.413664486
