,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,137.419634211,10.0,141.415434299,img/B/outside_nat\sun_aavmchfjuxkpmnuv.png,Outdoor,149.423718285,16.0,147.417460938,NearLeft,0,1,0,1.0,8.0,139.425830315
1,20.0,151.413438458,24.0,155.425747723,img/B/inside\sun_aaguxgrqaehrwaip.png,Indoor,165.423584949,32.0,163.417376947,Left,1,1,1,2.0,22.0,153.419572968
2,42.0,173.415251968,46.0,177.42769457,img/B/outside_man\sun_accbrnzxuvtlnfte.png,Outdoor,187.425561893,54.0,185.419341642,Right,2,1,2,3.0,44.0,175.42146277
3,58.0,189.415162728,62.0,193.428265011,img/B/inside\sun_aanzabthnsqaomio.png,Indoor,201.419257651,68.0,199.4130297,Right,3,1,3,4.0,60.0,191.42204091
4,72.0,203.425463553,76.0,207.421285689,img/B/outside_man\sun_acevqiqryuokiacc.png,Outdoor,215.412957958,82.0,213.423313377,Right,4,1,4,5.0,74.0,205.415066488
5,86.0,217.41917121,90.0,221.414976547,,None,229.423226586,96.0,227.417003536,NearRight,5,1,5,6.0,88.0,219.425354014
6,102.0,233.41906832,106.0,237.414873308,,None,247.412765478,114.0,245.423122297,Left,6,1,6,7.0,104.0,235.425247275
7,118.0,249.41896998,122.0,253.41753793,img/B/inside\sun_aanbmbnyyowsobsg.png,Indoor,261.423048455,128.0,259.416795307,NearLeft,7,1,7,8.0,120.0,251.425837664
8,134.0,265.418890189,138.0,269.414698676,img/B/inside\sun_aamrqohnymdzzcsm.png,Indoor,279.41255235,146.0,277.422934717,NearRight,8,1,8,9.0,136.0,267.425082793
9,154.0,285.414605236,158.0,289.427041538,img/B/outside_nat\sun_aajnqdxhijoxoqzu.png,Outdoor,297.418694559,164.0,295.431215553,NearRight,9,1,9,10.0,156.0,287.420786991
10,168.0,299.424909561,172.0,303.420727147,,None,311.428996084,178.0,309.422724739,Right,10,1,10,11.0,170.0,301.414491498
11,182.0,313.419268499,186.0,317.414425355,img/B/inside\sun_abqowuarvqqcnipn.png,Indoor,329.418510478,196.0,327.428880946,NearRight,11,1,11,12.0,184.0,315.425460403
12,200.0,331.424699933,204.0,335.42050982,img/B/outside_man\sun_abnrpxwqomrizaxl.png,Outdoor,343.412193288,210.0,341.422585803,Left,12,1,12,13.0,202.0,333.414286069
13,220.0,351.420434928,224.0,355.41629136,,None,363.4245337,230.0,361.418321848,NearLeft,13,1,13,14.0,222.0,353.426650279
14,236.0,367.42951893,240.0,371.416182171,img/B/inside\sun_abrnurmopsgqkxvn.png,Indoor,379.425177633,246.0,377.418227358,NearLeft,14,1,14,15.0,238.0,369.430066623
15,250.0,381.414058243,254.0,385.426493845,img/B/outside_man\sun_abuxdbyqfhrcggnx.png,Outdoor,393.418152116,260.0,391.428531683,Left,15,1,15,16.0,252.0,383.420215501
16,270.0,401.426391306,274.0,405.422199793,img/B/outside_nat\sun_aaivblcmcmxaurgo.png,Outdoor,415.420155657,282.0,413.413857364,NearRight,16,1,16,17.0,272.0,403.415989342
17,288.0,419.4159106,292.0,423.411742885,,None,431.419986624,298.0,429.413758674,Left,17,1,17,18.0,290.0,421.422112653
18,302.0,433.426246071,306.0,437.42386037,img/B/inside\sun_aaeivpaottmutnqm.png,Indoor,447.419873586,314.0,445.413662084,Right,18,1,18,19.0,304.0,435.416446394
19,324.0,455.428161421,328.0,459.427607429,,None,467.415643928,334.0,465.426046592,NearRight,19,1,19,20.0,326.0,457.417776605
20,340.0,471.428099478,344.0,475.423902366,img/B/outside_nat\sun_aacjsxcwmkbgvpmb.png,Outdoor,483.415535439,350.0,481.425951752,NearLeft,20,1,20,21.0,342.0,473.417687714
21,354.0,485.421766889,358.0,489.417604773,img/B/inside\sun_aawpvmrpwqvdtgzt.png,Indoor,501.422334179,368.0,499.41543325,Left,21,1,21,22.0,356.0,487.427990989
22,378.0,509.41332367,382.0,513.425743174,,None,523.423660191,390.0,521.417423142,Right,22,1,22,23.0,380.0,511.419512774
23,398.0,529.425694179,402.0,533.421518065,,None,541.413134689,408.0,539.423590548,NearLeft,23,1,23,24.0,400.0,531.415282415
