,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,115.595930765,10.0,119.591728053,,None,127.600013789,16.0,125.59377219,NearLeft,0,1,0,1.0,8.0,117.602132817
1,22.0,131.595891569,26.0,135.591634263,img/B/inside\sun_aaxzhukkwykojsek.png,Indoor,145.589504385,34.0,143.599917549,Right,1,1,1,2.0,24.0,133.602022229
2,44.0,153.597752325,48.0,157.593602108,,None,165.601875244,54.0,163.595629796,Right,2,1,2,3.0,46.0,155.603953327
3,58.0,167.591447033,62.0,171.603875636,img/B/outside_nat\sun_aamsdbqhyyzabsdt.png,Outdoor,183.591354992,72.0,181.601755207,Left,3,1,3,4.0,60.0,169.597630887
4,76.0,185.597567894,80.0,189.593411028,,None,197.601660717,86.0,195.595445015,NearRight,4,1,4,5.0,78.0,187.603781845
5,90.0,199.591264002,94.0,203.603696454,img/B/inside\sun_abqowuarvqqcnipn.png,Indoor,211.595358224,100.0,209.589088629,Left,5,1,5,6.0,92.0,201.597456605
6,108.0,217.598036145,112.0,221.594204745,img/B/outside_nat\sun_acfggivnbgypvwex.png,Outdoor,231.608342569,120.0,229.602134217,Right,6,1,6,7.0,110.0,219.604257446
7,124.0,233.59798505,128.0,237.594410173,img/B/outside_nat\sun_aafqfjpechscyidz.png,Outdoor,245.602069824,134.0,243.595832075,NearRight,7,1,7,8.0,126.0,235.604169605
8,140.0,249.597855214,144.0,253.59607005,img/B/outside_man\sun_aaxppqqoemukaosc.png,Outdoor,261.601957836,150.0,259.596015106,Right,8,1,8,9.0,142.0,251.604080714
9,154.0,263.591734702,158.0,267.604011421,img/B/outside_man\sun_acebwlwlbivavdcn.png,Outdoor,275.595573102,164.0,273.588744615,NearLeft,9,1,9,10.0,156.0,265.598492147
10,168.0,277.603488226,172.0,281.597046098,img/B/outside_man\sun_absfbbobjbzkaliz.png,Outdoor,289.588636126,178.0,287.599063988,NearRight,10,1,10,11.0,170.0,279.590784552
11,186.0,295.59070721,190.0,299.603146312,,None,307.594814031,196.0,305.606042959,Left,11,1,11,12.0,188.0,297.596887215
12,204.0,313.596822822,208.0,317.592681354,,None,327.590524529,216.0,325.600917744,NearRight,12,1,12,13.0,206.0,315.603040273
13,224.0,333.592584764,228.0,337.588391851,img/B/inside\sun_aasdufdzroddfmmw.png,Indoor,345.596638391,234.0,343.590400642,NearRight,13,1,13,14.0,226.0,335.598801865
14,238.0,347.602880689,242.0,351.598705975,img/B/inside\sun_aamjvvtynbmxfheq.png,Indoor,363.602734405,252.0,361.596510654,Right,14,1,14,15.0,240.0,349.592481525
15,256.0,365.592406282,260.0,369.58820812,img/B/inside\sun_abbahynvuqekslgb.png,Indoor,377.596470058,266.0,375.59022496,NearLeft,15,1,15,16.0,258.0,367.613004783
16,276.0,385.604734096,280.0,389.600568481,,None,397.592223951,286.0,395.60258987,NearLeft,16,1,16,17.0,278.0,387.594880874
17,290.0,399.598434053,294.0,403.594902922,img/B/inside\sun_abfapslzvjbwpbfq.png,Indoor,413.592135061,302.0,411.602542625,NearLeft,17,1,17,18.0,292.0,401.604622108
18,310.0,419.594165549,314.0,423.589982785,img/B/inside\sun_aanzabthnsqaomio.png,Indoor,433.604450626,322.0,431.598235624,NearRight,18,1,18,19.0,312.0,421.600366202
19,330.0,439.589883746,334.0,443.603039923,img/B/inside\sun_0ktvuinccdrmemdb.png,Indoor,451.594657248,340.0,449.605019666,Left,19,1,19,20.0,332.0,441.596098047
20,348.0,457.596009856,352.0,461.59252667,,None,471.590465385,360.0,469.60009778,Right,20,1,20,21.0,350.0,459.60287089
21,370.0,479.600403298,374.0,483.59387158,img/B/outside_nat\sun_abfqnimhfodrmbor.png,Outdoor,493.591682558,382.0,491.602055825,NearLeft,21,1,21,22.0,372.0,481.604829636
22,386.0,495.59788706,390.0,499.593719345,img/B/outside_man\sun_aawwwkzunboneeyy.png,Outdoor,507.601966585,396.0,505.595744234,Left,22,1,22,23.0,388.0,497.605357031
23,400.0,509.591589468,404.0,513.604000223,,None,521.595649394,410.0,519.589422844,Left,23,1,23,24.0,402.0,511.597782071
