,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,565.880425246,10.0,569.876210651,img/A/outside_nat\sun_avyaxgkxlaeedguu.png,Outdoor,581.880254115,20.0,579.891228231,NearRight,0,1,0,1.0,8.0,567.886568484
1,24.0,583.886406101,28.0,587.882188356,img/A/outside_man\sun_auprwsaegvmiaiwa.png,Outdoor,597.881522028,36.0,595.89040267,Right,1,1,1,2.0,26.0,585.892569287
2,40.0,599.886222021,44.0,603.882005326,img/A/outside_nat\sun_blyaxgejkrkfutoi.png,Outdoor,611.890244137,50.0,609.884019009,Left,2,1,2,3.0,42.0,601.892414953
3,54.0,613.879793564,58.0,617.892244871,,None,625.883854876,64.0,623.877634297,Left,3,1,3,4.0,56.0,615.886078187
4,74.0,633.892059392,78.0,637.887844096,img/A/inside\sun_agxipqjrftuwlwpl.png,Indoor,645.879459,84.0,643.889878777,NearLeft,4,1,4,5.0,76.0,635.881636466
5,88.0,647.88567083,92.0,651.881459735,img/A/inside\sun_bpmmdgszoqryjmdc.png,Indoor,659.889691547,98.0,657.883493365,Right,5,1,5,6.0,90.0,649.891869362
6,104.0,663.885495849,108.0,667.881282654,img/A/inside\sun_dzuamfdvfbbjouau.png,Indoor,677.879100989,116.0,675.889548062,Left,6,1,6,7.0,106.0,665.891689132
7,120.0,679.885320168,124.0,683.881113972,img/A/outside_man\sun_bwlcxhprfyrowoam.png,Outdoor,695.885150786,134.0,693.878927408,Left,7,1,7,8.0,122.0,681.891509951
8,142.0,701.887125974,146.0,705.882942525,,None,713.891161388,152.0,711.884955158,Right,8,1,8,9.0,144.0,703.876731745
9,160.0,719.893161773,164.0,723.888974124,img/A/inside\sun_ahvaoneopufydell.png,Indoor,731.880568381,170.0,729.890979758,NearLeft,9,1,9,10.0,162.0,721.882767894
10,178.0,737.882601312,182.0,741.878377267,img/A/inside\sun_auzwhookgjmsmnrs.png,Indoor,751.89281286,190.0,749.886581082,NearRight,10,1,10,11.0,180.0,739.888787944
11,200.0,759.884420765,204.0,763.88020862,,None,771.888479628,210.0,769.882219153,NearRight,11,1,11,12.0,202.0,761.890617547
12,214.0,773.877995808,218.0,777.890447465,,None,785.882051871,224.0,783.89244505,NearRight,12,1,12,13.0,216.0,775.884240885
13,232.0,791.884053655,236.0,795.879853408,img/A/inside\sun_ahnymjevjmixbypi.png,Indoor,805.877667194,244.0,803.888073321,Left,13,1,13,14.0,234.0,793.890257086
14,248.0,807.88465139,252.0,811.879674927,img/A/outside_nat\sun_bdtazuhapgwbydoi.png,Outdoor,819.887916538,258.0,817.88168686,NearLeft,14,1,14,15.0,250.0,809.890075455
15,262.0,821.877488363,266.0,825.889908174,,None,833.881523428,272.0,831.891955803,Left,15,1,15,16.0,264.0,823.883700543
16,276.0,835.887739107,280.0,839.883524862,img/A/inside\sun_ahixsbikiamkdlxa.png,Indoor,847.891710479,286.0,845.885509498,Right,16,1,16,17.0,278.0,837.877308832
17,294.0,853.877133501,298.0,857.889552612,img/A/inside\sun_aqjtevapheavsuzi.png,Indoor,867.887371297,306.0,865.881143369,NearRight,17,1,17,18.0,296.0,855.88354306
18,310.0,869.876978118,314.0,873.88938183,img/A/outside_nat\sun_anbimwjszaokyqiw.png,Outdoor,881.880986586,320.0,879.892938497,Right,18,1,18,19.0,312.0,871.883752337
19,324.0,883.887194916,328.0,887.883796083,,None,897.880804955,336.0,895.891870762,Right,19,1,19,20.0,326.0,885.87677514
20,346.0,905.889026269,350.0,909.884806424,img/A/outside_man\sun_azxxdozadjohyntn.png,Outdoor,917.876423078,356.0,915.886858603,NearRight,20,1,20,21.0,348.0,907.878596344
21,360.0,919.882727648,364.0,923.878429761,,None,931.886655624,370.0,929.880428046,NearLeft,21,1,21,22.0,362.0,921.88883134
22,374.0,933.876247047,378.0,937.888675957,,None,945.880276162,384.0,943.890646594,NearLeft,22,1,22,23.0,376.0,935.883586455
23,392.0,951.883607803,396.0,955.8780763,img/A/outside_man\sun_bqyrpmzmnorhqiuj.png,Outdoor,965.892551088,404.0,963.886348707,NearLeft,23,1,23,24.0,394.0,953.888476828
