,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,586.28364118,10.0,590.279382883,img/B/outside_man\sun_aaxbnfjjlyocwwwo.png,Outdoor,598.287523972,16.0,596.281307306,Left,0,1,0,1.0,8.0,588.289774207
1,24.0,604.289470442,28.0,608.285247491,img/B/outside_nat\sun_abfqnimhfodrmbor.png,Outdoor,616.276772541,34.0,614.287192211,Right,1,1,1,2.0,26.0,606.279053222
2,38.0,618.28296786,42.0,622.278750857,img/B/inside\sun_aaczmpbmprzjcofd.png,Indoor,630.286895796,48.0,628.280666531,Left,2,1,2,3.0,40.0,620.28915058
3,54.0,634.28262315,58.0,638.278442194,img/B/inside\sun_aaoyqijdfqbzwraw.png,Indoor,648.276161163,66.0,646.286562286,NearLeft,3,1,3,4.0,56.0,636.288831418
4,70.0,650.282339684,74.0,654.278161877,,None,662.286326413,80.0,660.280060403,Left,4,1,4,5.0,72.0,652.288518205
5,84.0,664.27584515,88.0,668.28915583,img/B/outside_nat\sun_aabhqzsffoeycgje.png,Outdoor,676.27974894,94.0,674.290162661,NearRight,5,1,5,6.0,86.0,666.282025421
6,98.0,678.285948108,102.0,682.281724107,img/B/inside\sun_aanzabthnsqaomio.png,Indoor,690.289856447,108.0,688.283675126,Right,6,1,6,7.0,100.0,680.27551059
7,116.0,696.275192477,120.0,700.287583815,img/B/inside\sun_abbahynvuqekslgb.png,Indoor,708.279130913,126.0,706.289560032,NearRight,7,1,7,8.0,118.0,698.281381497
8,136.0,716.28728635,140.0,720.283061999,,None,730.280775369,148.0,728.29118349,Left,8,1,8,9.0,138.0,718.276826434
9,158.0,738.288930456,162.0,742.284690706,,None,750.276240954,168.0,748.286615829,NearRight,9,1,9,10.0,160.0,740.278478939
10,172.0,752.282426474,176.0,756.278187074,img/B/outside_man\sun_abuxdbyqfhrcggnx.png,Outdoor,764.286336912,182.0,762.280107297,NearRight,10,1,10,11.0,174.0,754.288599045
11,190.0,770.288299831,194.0,774.28406498,,None,782.275617327,200.0,780.286008301,Right,11,1,11,12.0,192.0,772.277852163
12,204.0,784.281825595,208.0,788.277565897,,None,796.285725884,214.0,794.279519367,NearRight,12,1,12,13.0,206.0,786.287995367
13,218.0,798.275320912,222.0,802.287704551,,None,810.279178857,228.0,808.289649621,NearLeft,13,1,13,14.0,220.0,800.281494184
14,234.0,814.275072791,238.0,818.28737699,,None,828.285755281,246.0,826.280430659,Right,14,1,14,15.0,236.0,816.28118727
15,250.0,830.277527052,254.0,834.287744446,img/B/outside_man\sun_aaalcefznkjgkkdo.png,Outdoor,846.291598191,264.0,844.285412671,Right,15,1,15,16.0,252.0,832.281549827
16,270.0,850.287420034,274.0,854.284099626,img/B/inside\sun_aasdufdzroddfmmw.png,Indoor,864.280241332,282.0,862.291326973,Right,16,1,16,17.0,272.0,852.276325994
17,286.0,866.28898015,290.0,870.282264443,img/B/inside\sun_aakuktqwgbgavllp.png,Indoor,880.279931618,298.0,878.294432157,NearLeft,17,1,17,18.0,288.0,868.275983384
18,304.0,884.27567682,308.0,888.29415534,img/B/outside_nat\sun_aamepsrqelgzeleo.png,Outdoor,898.285823173,316.0,896.279625404,NearLeft,18,1,18,19.0,306.0,886.28186654
19,326.0,906.277342274,330.0,910.289727312,,None,918.281262161,336.0,916.291677982,NearLeft,19,1,19,20.0,328.0,908.283510996
20,340.0,920.287464479,344.0,924.28321878,img/B/outside_nat\sun_aanfjwabnufovale.png,Outdoor,932.274757129,350.0,930.285157901,NearLeft,20,1,20,21.0,342.0,922.276997564
21,354.0,934.280992343,358.0,938.276735795,img/B/inside\sun_aafkyzekyiexahmz.png,Indoor,948.291054006,366.0,946.284871635,NearRight,21,1,21,22.0,356.0,936.287214259
22,370.0,950.280633985,374.0,954.276394585,img/B/outside_man\sun_aavgffdllieopxov.png,Outdoor,966.280294175,384.0,964.290739743,Left,22,1,22,23.0,372.0,952.286817755
23,394.0,974.288465711,398.0,978.284248709,img/B/inside\sun_aaruuebeoybyaqmu.png,Indoor,986.275800356,404.0,984.286194129,Left,23,1,23,24.0,396.0,976.278059339
