,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,43.0586218277,10.0,47.0543907839,,None,55.0626446437,16.0,53.0564321137,NearLeft,0,1,0,1.0,8.0,45.0647997113
1,22.0,59.0612262469,26.0,63.0542312013,img/A/inside\sun_atbyxovooehnzemf.png,Indoor,73.0743967264,34.0,71.0636854316,Right,1,1,1,2.0,24.0,61.0653148559
2,44.0,81.0603131952,48.0,85.0561514441,,None,93.0643629585,54.0,91.0581301306,Right,2,1,2,3.0,46.0,83.066499128
3,58.0,95.0539379327,62.0,99.0663811909,img/A/outside_nat\sun_ancumhmsbxcihhtp.png,Outdoor,111.053804947,72.0,109.064194627,Left,3,1,3,4.0,60.0,97.0601252655
4,76.0,113.060011878,80.0,117.055810931,,None,125.064055342,86.0,123.057851911,NearRight,4,1,4,5.0,78.0,115.066211459
5,90.0,127.053654813,94.0,131.066068324,img/A/inside\sun_akmrxobzlzsiuhog.png,Indoor,139.05767203,100.0,137.068077808,Left,5,1,5,6.0,92.0,129.059854395
6,108.0,145.059690262,112.0,149.055533761,img/A/outside_man\sun_aputwudvfhsgcsgg.png,Outdoor,159.053356295,120.0,157.063735826,Right,6,1,6,7.0,110.0,147.065892644
7,124.0,161.059550628,128.0,165.055378027,img/A/outside_nat\sun_apxdlklioepthkgw.png,Outdoor,173.063569594,134.0,171.05739171,NearRight,7,1,7,8.0,126.0,163.065753709
8,140.0,177.059401894,144.0,181.055226494,img/A/outside_man\sun_aadopnnweznhggye.png,Outdoor,189.063445707,150.0,187.057221629,Right,8,1,8,9.0,142.0,179.065609174
9,154.0,191.053030131,158.0,195.065466739,img/A/outside_man\sun_bezqwfdkvrlqbokm.png,Outdoor,203.057082694,164.0,201.067478672,NearLeft,9,1,9,10.0,156.0,193.059243011
10,168.0,205.063292774,172.0,209.059075729,img/A/outside_man\sun_ahsknmkvyzjvzpic.png,Outdoor,217.067329589,178.0,215.061130707,NearRight,10,1,10,11.0,170.0,207.052889446
11,186.0,223.052730213,190.0,227.065134275,,None,235.069840218,196.0,233.067167906,Left,11,1,11,12.0,188.0,225.058931194
12,204.0,241.058797509,208.0,245.054625259,,None,255.052425746,216.0,253.062837473,NearRight,12,1,12,13.0,206.0,243.064987291
13,224.0,261.054479324,228.0,265.066872538,img/A/inside\sun_aawinctpjwdokiof.png,Indoor,273.058493742,234.0,271.068871172,NearRight,13,1,13,14.0,226.0,263.060669807
14,238.0,275.064703822,242.0,279.060520373,img/A/inside\sun_blkzrscmyrliztij.png,Indoor,291.064555438,252.0,289.058328909,Right,14,1,14,15.0,240.0,277.054313792
15,256.0,293.054178357,260.0,297.06657402,img/A/inside\sun_ahixsbikiamkdlxa.png,Indoor,305.058187874,266.0,303.068573704,NearLeft,15,1,15,16.0,258.0,295.06036674
16,276.0,313.066427736,280.0,317.062230638,,None,325.053877389,286.0,323.06425307,NearLeft,16,1,16,17.0,278.0,315.056014959
17,290.0,327.060065072,294.0,331.055884073,img/A/inside\sun_ahsovvjhbcyntaak.png,Indoor,341.053726206,302.0,339.064095937,NearLeft,17,1,17,18.0,292.0,329.066263953
18,310.0,347.055719591,314.0,351.051543841,img/A/inside\sun_bdmgmqsmmqkthilp.png,Indoor,361.065968935,322.0,359.059763754,NearRight,18,1,18,19.0,312.0,349.061925821
19,330.0,367.070779516,334.0,371.063802319,img/A/inside\sun_asizwxdltgasvzue.png,Indoor,379.055424222,340.0,377.065806203,Left,19,1,19,20.0,332.0,369.05758139
20,348.0,385.057445605,352.0,389.053269155,,None,399.067693899,360.0,397.06147822,Right,20,1,20,21.0,350.0,387.063647636
21,370.0,407.072673862,374.0,411.055113106,img/A/outside_nat\sun_bgqsphccbnklxlqu.png,Outdoor,421.053154017,382.0,419.063343168,NearLeft,21,1,21,22.0,372.0,409.065507685
22,386.0,423.05916182,390.0,427.054946524,img/A/outside_nat\sun_bgibqzzsihgolcxc.png,Outdoor,435.063253578,396.0,433.056947958,Left,22,1,22,23.0,388.0,425.06536945
23,400.0,437.052872298,404.0,441.065213367,,None,449.05683562,410.0,447.0672239,Left,23,1,23,24.0,402.0,439.059008536
