,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,1066.54726573,10.0,1070.54304168,img/B/outside_man\sun_aawwwkzunboneeyy.png,Outdoor,1078.55130289,16.0,1076.54508441,Left,0,1,0,1.0,8.0,1068.55344781
1,24.0,1084.55330293,28.0,1088.54911773,,None,1096.54073333,34.0,1094.55112021,NearRight,1,1,1,2.0,26.0,1086.54287265
2,38.0,1098.54694131,42.0,1102.54276066,img/B/inside\sun_abwmjfnrmqjdltxn.png,Indoor,1110.55098023,48.0,1108.5447838,Right,2,1,2,3.0,40.0,1100.55313179
3,56.0,1116.55299426,60.0,1120.54881081,img/B/outside_man\sun_aaancoinbvtdypbc.png,Outdoor,1128.55705907,66.0,1126.55082974,Right,3,1,3,4.0,58.0,1118.54259303
4,70.0,1130.56327055,74.0,1134.54516455,img/B/inside\sun_aawzwijpmowksmpn.png,Indoor,1142.55084794,80.0,1140.54449088,NearRight,4,1,4,5.0,72.0,1132.55440881
5,84.0,1144.54023849,88.0,1148.55273004,img/B/inside\sun_acerznjesvvkvymi.png,Indoor,1158.55054452,96.0,1156.54426445,Left,5,1,5,6.0,86.0,1146.54645591
6,100.0,1160.54012475,104.0,1164.55255156,,None,1174.55044933,112.0,1172.54416926,NearLeft,6,1,6,7.0,102.0,1162.54631068
7,122.0,1182.54200649,126.0,1186.55441861,img/B/outside_nat\sun_aafqfjpechscyidz.png,Outdoor,1196.55224464,134.0,1194.54602476,NearRight,7,1,7,8.0,124.0,1184.54819103
8,140.0,1200.54805979,144.0,1204.54388719,img/B/inside\sun_abrnurmopsgqkxvn.png,Indoor,1212.55210326,150.0,1210.54587428,NearLeft,8,1,8,9.0,142.0,1202.55424922
9,154.0,1214.54171428,158.0,1218.55413549,,None,1228.55195102,166.0,1226.5457084,Left,9,1,9,10.0,156.0,1216.54788621
10,170.0,1230.54155714,174.0,1234.5539682,img/B/inside\sun_abakyssezpogcttw.png,Indoor,1244.55671331,182.0,1242.54621934,Right,10,1,10,11.0,172.0,1232.54772908
11,186.0,1246.54269732,190.0,1250.554476,img/B/outside_nat\sun_aaacmydfmcozlpel.png,Outdoor,1258.54547987,196.0,1256.55647813,NearLeft,11,1,11,12.0,188.0,1248.54965037
12,202.0,1262.54126317,206.0,1266.55371763,,None,1274.54527164,212.0,1272.55573201,NearRight,12,1,12,13.0,204.0,1264.54823302
13,216.0,1276.55148557,220.0,1280.54729967,img/B/outside_nat\sun_aamepsrqelgzeleo.png,Outdoor,1288.55552484,226.0,1286.54932386,Left,13,1,13,14.0,218.0,1278.54108889
14,230.0,1290.54514881,234.0,1294.54093841,img/B/inside\sun_aamjvvtynbmxfheq.png,Indoor,1302.54919332,240.0,1300.54296469,NearLeft,14,1,14,15.0,232.0,1292.55133159
15,248.0,1308.55119895,252.0,1312.54700711,,None,1324.55105302,262.0,1322.54481494,NearLeft,15,1,15,16.0,250.0,1310.54077568
16,272.0,1332.54273302,276.0,1336.55509648,,None,1344.54672189,282.0,1342.55709127,Left,16,1,16,17.0,274.0,1334.54888465
17,292.0,1352.5549208,296.0,1356.5507503,img/B/outside_nat\sun_aarnmhmjnoywelfb.png,Outdoor,1364.54238725,302.0,1362.55275034,NearRight,17,1,17,18.0,294.0,1354.54449718
18,306.0,1366.54859138,310.0,1370.54437014,,None,1378.5526464,316.0,1376.54642127,Right,18,1,18,19.0,308.0,1368.55476472
19,322.0,1382.5484808,326.0,1386.5442284,img/B/outside_man\sun_abtzbdcoykoqzupl.png,Outdoor,1396.54211498,334.0,1394.55242942,Right,19,1,19,20.0,324.0,1384.55468108
20,344.0,1404.55028275,348.0,1408.54609265,img/B/inside\sun_aaguxgrqaehrwaip.png,Indoor,1420.55021381,358.0,1418.54391799,Left,20,1,20,21.0,346.0,1406.55648338
21,366.0,1426.55217745,370.0,1430.5480003,img/B/outside_man\sun_accnapeyuiitgzxz.png,Outdoor,1440.54579869,378.0,1438.55622581,NearLeft,21,1,21,22.0,368.0,1428.54177097
22,382.0,1442.55203046,386.0,1446.54783337,,None,1454.55606238,392.0,1452.54985825,Right,22,1,22,23.0,384.0,1444.54159634
23,400.0,1460.55807851,404.0,1464.55386882,img/B/inside\sun_aakejyolaigkvisc.png,Indoor,1472.54727238,410.0,1470.55589825,NearRight,23,1,23,24.0,402.0,1462.54766993
