,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,142.795748029,10.0,146.791183821,,None,154.798824897,16.0,152.792372293,Left,0,1,0,1.0,8.0,144.803167928
1,26.0,162.790181179,30.0,166.785981632,img/B/inside\sun_aaeivpaottmutnqm.png,Indoor,174.794208895,36.0,172.787977117,NearLeft,1,1,1,2.0,28.0,164.79638706
2,40.0,176.800474969,44.0,180.796261073,,None,188.787861279,50.0,186.798264257,NearLeft,2,1,2,3.0,42.0,178.790034895
3,54.0,190.79406506,58.0,194.789901209,,None,206.793960421,68.0,204.787781838,NearRight,3,1,3,4.0,56.0,192.800258342
4,74.0,210.789753175,78.0,214.802141489,img/B/outside_nat\sun_aalcoddsgakiyibg.png,Outdoor,224.799991321,86.0,222.793761993,NearLeft,4,1,4,5.0,76.0,212.795942608
5,92.0,228.795787224,96.0,232.791547432,img/B/outside_man\sun_abiwezihcfaufuiw.png,Outdoor,240.799833838,102.0,238.793571613,NearRight,5,1,5,6.0,94.0,230.801971407
6,108.0,244.795632891,112.0,248.791440693,,None,256.799655007,118.0,254.793447727,Right,6,1,6,7.0,110.0,246.801821624
7,124.0,260.795489057,128.0,264.79128671,img/B/inside\sun_aawzwijpmowksmpn.png,Indoor,272.799516422,134.0,270.793294443,Right,7,1,7,8.0,126.0,262.801664141
8,142.0,278.801536754,146.0,282.797354705,img/B/inside\sun_aahutlxpfsmsmmqi.png,Indoor,290.788983958,152.0,288.799328842,Left,8,1,8,9.0,144.0,280.791089681
9,156.0,292.795172691,160.0,296.790976293,,None,304.799208105,166.0,302.792968278,Left,9,1,9,10.0,158.0,294.801359323
10,170.0,306.788830325,174.0,310.801216889,img/B/outside_nat\sun_abaifaanomiouwiq.png,Outdoor,320.799033474,182.0,318.792834943,Left,10,1,10,11.0,172.0,308.795008208
11,186.0,322.788680891,190.0,326.801072004,,None,334.792689708,196.0,332.803074488,NearLeft,11,1,11,12.0,188.0,324.794868573
12,200.0,336.798892789,204.0,340.79471214,img/B/inside\sun_aajspcoepticvplv.png,Indoor,348.786333344,210.0,346.796724423,NearRight,12,1,12,13.0,202.0,338.788511509
13,218.0,354.788364875,222.0,358.800769637,img/B/inside\sun_aasdufdzroddfmmw.png,Indoor,366.79239364,228.0,364.786145764,NearRight,13,1,13,14.0,220.0,356.794518261
14,238.0,374.800640851,242.0,378.796431155,img/B/inside\sun_aajuhnhxgwkyyrwb.png,Indoor,388.794283436,250.0,386.788049909,Right,14,1,14,15.0,240.0,376.790212676
15,254.0,390.80046272,258.0,394.79628627,img/B/outside_nat\sun_aadneptrbqhkzwag.png,Outdoor,402.787914823,264.0,400.798291904,Left,15,1,15,16.0,256.0,392.790027196
16,268.0,404.794108105,272.0,408.78989701,,None,416.798140371,278.0,414.79193064,Right,16,1,16,17.0,270.0,406.800289839
17,282.0,418.78776399,286.0,422.800162802,img/B/outside_man\sun_abtzbdcoykoqzupl.png,Outdoor,432.797973789,294.0,430.791759859,NearRight,17,1,17,18.0,284.0,420.793942923
18,298.0,434.787612456,302.0,438.800008469,img/B/outside_man\sun_aaalcefznkjgkkdo.png,Outdoor,448.797827504,310.0,446.791610775,NearLeft,18,1,18,19.0,300.0,436.79378684
19,320.0,456.789447308,324.0,460.801873068,img/B/inside\sun_aaczmpbmprzjcofd.png,Indoor,468.793493222,330.0,466.787286991,NearLeft,19,1,19,20.0,322.0,458.795649689
20,336.0,472.789290525,340.0,476.785114075,img/B/outside_man\sun_abgbtmeglahqlsmz.png,Outdoor,486.79953567,348.0,484.793332239,Right,20,1,20,21.0,338.0,474.795505855
21,354.0,490.795351171,358.0,494.791156874,img/B/outside_nat\sun_aagkrwwxayqfeara.png,Outdoor,504.788990607,366.0,502.799376787,Right,21,1,21,22.0,356.0,492.801532205
22,370.0,506.795190539,374.0,510.790999391,,None,522.795044954,384.0,520.788791829,NearRight,22,1,22,23.0,372.0,508.801382771
23,394.0,530.803268717,398.0,534.799078969,img/B/inside\sun_abslarjcldcebort.png,Indoor,542.790693874,404.0,540.801096502,Left,23,1,23,24.0,396.0,532.792871689
