,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,1111.03367699,10.0,1115.02952957,img/A/outside_nat\sun_bpqombtghzcbglwk.png,Outdoor,1123.03773936,16.0,1121.0316052,NearLeft,0,1,0,1.0,8.0,1113.03986259
1,20.0,1125.04396906,24.0,1129.03998998,img/A/inside\sun_blkzrscmyrliztij.png,Indoor,1139.03767637,32.0,1137.03141937,Left,1,1,1,2.0,22.0,1127.03611693
2,42.0,1147.04588231,46.0,1151.04172685,img/A/outside_man\sun_aputwudvfhsgcsgg.png,Outdoor,1161.03957107,54.0,1159.03333822,Right,2,1,2,3.0,44.0,1149.03551324
3,58.0,1163.02919185,62.0,1167.04163481,img/A/inside\sun_artoiedgagfbgesn.png,Indoor,1175.03326158,68.0,1173.04365444,Right,3,1,3,4.0,60.0,1165.03539881
4,72.0,1177.03946923,76.0,1181.03529557,img/A/outside_nat\sun_bdtazuhapgwbydoi.png,Outdoor,1189.04353511,82.0,1187.0373362,Right,4,1,4,5.0,74.0,1179.02908546
5,86.0,1191.03316044,90.0,1195.02900672,,None,1203.03725011,96.0,1201.03101201,NearRight,5,1,5,6.0,88.0,1193.03935234
6,102.0,1207.0330656,106.0,1211.02890313,,None,1221.04335558,114.0,1219.03712483,Left,6,1,6,7.0,104.0,1209.03922321
7,118.0,1223.03295711,122.0,1227.02879779,img/A/inside\sun_abxzvqnkfecikftq.png,Indoor,1235.03704783,128.0,1233.03080554,NearLeft,7,1,7,8.0,120.0,1225.03914692
8,134.0,1239.03285107,138.0,1243.02869351,img/A/inside\sun_atbyxovooehnzemf.png,Indoor,1253.04315155,146.0,1251.0369068,NearRight,8,1,8,9.0,136.0,1241.03905802
9,154.0,1259.04517014,158.0,1263.04100732,img/A/outside_nat\sun_aofakjvzflfwxapl.png,Outdoor,1271.03264949,164.0,1269.04303221,NearRight,9,1,9,10.0,156.0,1261.03478147
10,168.0,1273.03883405,172.0,1277.03470203,,None,1285.04294192,178.0,1283.03673357,Right,10,1,10,11.0,170.0,1275.02847128
11,182.0,1287.03254905,186.0,1291.02836034,img/A/inside\sun_auzwhookgjmsmnrs.png,Indoor,1303.03241607,196.0,1301.04280683,NearRight,11,1,11,12.0,184.0,1289.03873886
12,200.0,1305.03869721,204.0,1309.03447,img/A/outside_nat\sun_axmvhnqbyqknulko.png,Outdoor,1317.04325409,210.0,1315.03652079,Left,12,1,12,13.0,202.0,1307.04485377
13,220.0,1325.03438461,224.0,1329.03033098,,None,1337.03842949,230.0,1335.03224354,NearLeft,13,1,13,14.0,222.0,1327.04057722
14,236.0,1341.03428907,240.0,1345.03008881,img/A/inside\sun_akihpnhiblchzhgq.png,Indoor,1353.0383077,246.0,1351.0321235,NearLeft,14,1,14,15.0,238.0,1343.04048763
15,250.0,1355.02797363,254.0,1359.04040958,img/A/outside_man\sun_bjeuogjtlonvfbet.png,Outdoor,1367.03202586,260.0,1365.04241277,Left,15,1,15,16.0,252.0,1357.03417358
16,270.0,1375.04027905,274.0,1379.03611588,img/A/outside_man\sun_aaafvavryivlwifa.png,Outdoor,1389.0339986,282.0,1387.04434597,NearRight,16,1,16,17.0,272.0,1377.02987183
17,288.0,1393.02980324,292.0,1397.04222099,,None,1405.03388346,298.0,1403.04425008,Left,17,1,17,18.0,290.0,1395.03599829
18,302.0,1407.04008027,306.0,1411.03598115,img/A/inside\sun_bpmmdgszoqryjmdc.png,Indoor,1421.03376833,314.0,1419.0441297,Right,18,1,18,19.0,304.0,1409.02967375
19,324.0,1429.04202291,328.0,1433.0378286,,None,1441.02948092,334.0,1439.03987414,NearRight,19,1,19,20.0,326.0,1431.0315989
20,340.0,1445.04192632,344.0,1449.03769597,img/A/outside_man\sun_acljdhtouiwvalkv.png,Outdoor,1457.02937523,350.0,1455.03977195,NearLeft,20,1,20,21.0,342.0,1447.03149356
21,354.0,1459.03558394,358.0,1463.03140992,img/A/inside\sun_adkonpxsblmtdukc.png,Indoor,1475.03549155,368.0,1473.04587006,Left,21,1,21,22.0,356.0,1461.04179229
22,378.0,1483.04373179,382.0,1487.03955882,,None,1497.03742195,390.0,1495.0311912,Right,22,1,22,23.0,380.0,1485.03334277
23,398.0,1503.03944298,402.0,1507.03528612,,None,1515.04353021,408.0,1513.03727251,NearLeft,23,1,23,24.0,400.0,1505.02905082
