,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,594.439604739,10.0,598.435269056,img/B/inside\sun_aamjvvtynbmxfheq.png,Indoor,606.429172014,16.0,604.440657075,NearRight,0,1,0,1.0,8.0,596.429043578
1,20.0,608.434080934,24.0,612.428896594,,None,622.42837305,32.0,620.437142054,NearRight,1,1,1,2.0,22.0,610.440329161
2,36.0,624.433693876,40.0,628.42874751,,None,638.443222998,48.0,636.436990171,Right,2,1,2,3.0,38.0,626.441459539
3,54.0,642.439057748,58.0,646.434815155,img/B/inside\sun_aahutlxpfsmsmmqi.png,Indoor,654.443011271,64.0,652.439490301,NearRight,3,1,3,4.0,56.0,644.445844916
4,68.0,656.432631041,72.0,660.428450392,,None,670.442857988,80.0,668.438992655,NearLeft,4,1,4,5.0,70.0,658.438784077
5,90.0,678.435768452,94.0,682.430324789,,None,690.438505157,100.0,688.432314325,NearLeft,5,1,5,6.0,92.0,680.440658825
6,110.0,698.430112012,114.0,702.425976158,img/B/outside_nat\sun_aagkrwwxayqfeara.png,Outdoor,710.43421392,120.0,708.427978643,NearLeft,6,1,6,7.0,112.0,700.436361988
7,128.0,716.437290788,132.0,720.434598179,img/B/outside_nat\sun_aalcoddsgakiyibg.png,Outdoor,728.440251469,138.0,726.43496004,Left,7,1,7,8.0,130.0,718.442413536
8,142.0,730.431039412,146.0,734.442230155,img/B/inside\sun_aaoyqijdfqbzwraw.png,Indoor,742.434791008,152.0,740.431253239,NearLeft,8,1,8,9.0,144.0,732.437691145
9,156.0,744.440106934,160.0,748.436921228,img/B/inside\sun_aaaezlmwnuubqwpb.png,Indoor,760.4399603,170.0,758.433721523,Right,9,1,9,10.0,158.0,746.429718655
10,174.0,762.429495379,178.0,766.444386973,img/B/inside\sun_aaxoyiyedszmasjo.png,Indoor,776.439749973,186.0,774.433543742,Right,10,1,10,11.0,176.0,764.436873633
11,194.0,782.441810201,198.0,786.437661748,img/B/outside_man\sun_aajumnzgihznlagm.png,Outdoor,794.431292435,204.0,792.440492593,NearRight,11,1,11,12.0,196.0,784.431423321
12,208.0,796.435446837,212.0,800.431256039,,None,810.429090473,220.0,808.439488201,Left,12,1,12,13.0,210.0,798.441648518
13,230.0,818.439171485,234.0,822.436052272,img/B/inside\sun_aajspcoepticvplv.png,Indoor,832.432136194,242.0,830.443796937,Left,13,1,13,14.0,232.0,820.443456073
14,246.0,834.437143104,250.0,838.433001651,,None,846.441203366,256.0,844.435769502,Left,14,1,14,15.0,248.0,836.443380831
15,260.0,848.430824186,264.0,852.443225098,img/B/inside\sun_aajuhnhxgwkyyrwb.png,Indoor,860.434841052,270.0,858.432813021,NearLeft,15,1,15,16.0,262.0,850.436989471
16,274.0,862.441699613,278.0,866.436851936,img/B/outside_man\sun_aaalcefznkjgkkdo.png,Outdoor,876.434643674,286.0,874.428411546,Left,16,1,16,17.0,276.0,864.431649047
17,294.0,882.437700594,298.0,886.435223561,img/B/outside_man\sun_aacclhfjjpnqvtbz.png,Outdoor,894.443431576,304.0,892.435343948,Right,17,1,17,18.0,296.0,884.445426361
18,312.0,900.443561762,316.0,904.438563951,img/B/outside_man\sun_aaxppqqoemukaosc.png,Outdoor,912.430143859,322.0,910.441326553,NearRight,18,1,18,19.0,314.0,902.432350021
19,326.0,914.439174285,330.0,918.432202337,,None,926.440380605,336.0,924.435305452,Right,19,1,19,20.0,328.0,916.442580468
20,342.0,930.440841855,346.0,934.434273764,img/B/outside_nat\sun_aaansjgvhbrbxvvk.png,Outdoor,942.44080021,352.0,940.434690219,Right,20,1,20,21.0,344.0,932.444516809
21,356.0,944.429864939,360.0,948.442337244,,None,960.433486698,370.0,958.44367305,NearRight,21,1,21,22.0,358.0,946.436042823
22,380.0,968.454395543,384.0,972.433797815,img/B/outside_nat\sun_aafqfjpechscyidz.png,Outdoor,980.442015979,390.0,978.435761453,NearLeft,22,1,22,23.0,382.0,970.42855853
23,394.0,982.432283878,398.0,986.427384407,img/B/inside\sun_aawpvmrpwqvdtgzt.png,Indoor,994.438409967,404.0,992.42939319,Left,23,1,23,24.0,396.0,984.437770936
