,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,144.569627509,10.0,148.565432497,img/B/inside\sun_abbahynvuqekslgb.png,Indoor,156.573681836,16.0,154.567468585,NearLeft,0,1,0,1.0,8.0,146.575865258
1,26.0,164.588081784,30.0,168.577720765,,None,176.569408782,36.0,174.579742154,Left,1,1,1,2.0,28.0,166.571600954
2,42.0,180.565185773,46.0,184.577645873,img/B/inside\sun_abaergayifsgacxt.png,Indoor,192.569296794,52.0,190.579679511,Right,2,1,2,3.0,44.0,182.571413373
3,56.0,194.575473649,60.0,198.571303834,,None,206.562920109,66.0,204.573346571,NearRight,3,1,3,4.0,58.0,196.565081134
4,70.0,208.569179906,74.0,212.564985944,img/B/inside\sun_aakejyolaigkvisc.png,Indoor,222.562835768,82.0,220.573205186,NearRight,4,1,4,5.0,72.0,210.575406106
5,92.0,230.571070759,96.0,234.566920542,img/B/outside_nat\sun_aafqfjpechscyidz.png,Outdoor,246.57096262,106.0,244.564746219,Right,5,1,5,6.0,94.0,232.57729241
6,116.0,254.579232257,120.0,258.575058243,img/B/outside_man\sun_aaalcefznkjgkkdo.png,Outdoor,268.572887069,128.0,266.566684667,Right,6,1,6,7.0,118.0,256.568831343
7,132.0,270.57911047,136.0,274.574943805,img/B/outside_man\sun_abnrpxwqomrizaxl.png,Outdoor,282.566589826,142.0,280.577681219,NearLeft,7,1,7,8.0,134.0,272.568718304
8,146.0,284.572798528,150.0,288.568628714,img/B/outside_nat\sun_abaifaanomiouwiq.png,Outdoor,298.566454391,158.0,296.576837457,NearRight,8,1,8,9.0,148.0,286.562388515
9,164.0,302.578897692,168.0,306.574717378,,None,314.566337853,174.0,312.576762915,Right,9,1,9,10.0,166.0,304.568498527
10,178.0,316.57259695,182.0,320.568395988,img/B/inside\sun_aaydtryfnfbvlvli.png,Indoor,328.576631679,188.0,326.570396729,NearRight,10,1,10,11.0,180.0,318.578768556
11,196.0,334.578673016,200.0,338.574504251,img/B/inside\sun_abrfwthdzagzztaq.png,Indoor,346.566150972,206.0,344.57652074,Left,11,1,11,12.0,198.0,336.568271751
12,210.0,348.572358275,214.0,352.568157663,,None,360.576373406,220.0,358.5701934,Left,12,1,12,13.0,212.0,350.578542479
13,224.0,362.565989289,228.0,366.585060549,img/B/outside_nat\sun_aabtemlmesogqbbp.png,Outdoor,374.570063914,234.0,372.56387376,Left,13,1,13,14.0,226.0,364.572204641
14,238.0,376.576290814,242.0,380.572157745,img/B/outside_nat\sun_abdoxebvkrdofyyh.png,Outdoor,390.569956825,250.0,388.580385737,NearLeft,14,1,14,15.0,240.0,378.565910197
15,256.0,394.565826556,260.0,398.578238711,,None,406.569885083,266.0,404.563652933,Right,15,1,15,16.0,258.0,396.57202021
16,276.0,414.578131622,280.0,418.573956208,img/B/inside\sun_aaxoyiyedszmasjo.png,Indoor,428.571871475,288.0,426.565683071,Left,16,1,16,17.0,278.0,416.567815049
17,298.0,436.580053971,302.0,440.575864909,img/B/outside_man\sun_accnapeyuiitgzxz.png,Outdoor,450.57373958,310.0,448.567520729,NearRight,17,1,17,18.0,300.0,438.569644658
18,314.0,452.563337266,318.0,456.575777418,,None,464.56741434,324.0,462.577795657,NearLeft,18,1,18,19.0,316.0,454.569535819
19,328.0,466.573634941,332.0,470.569442379,img/B/inside\sun_aawzwijpmowksmpn.png,Indoor,480.56732335,340.0,478.577685419,Right,19,1,19,20.0,330.0,468.56320078
20,350.0,488.575534193,354.0,492.571395525,img/B/outside_man\sun_aaxirkpajectciho.png,Outdoor,500.562996401,360.0,498.573415164,Left,20,1,20,21.0,352.0,490.581757244
21,366.0,504.575422905,370.0,508.571296135,,None,516.562888613,376.0,514.573296177,NearLeft,21,1,21,22.0,368.0,506.565056636
22,380.0,518.569084716,384.0,522.564958647,img/B/inside\sun_abrnurmopsgqkxvn.png,Indoor,534.568972728,394.0,532.579403389,NearLeft,22,1,22,23.0,382.0,520.575339613
23,398.0,536.575251073,402.0,540.571072859,,None,548.57930435,408.0,546.573092848,NearRight,23,1,23,24.0,400.0,538.564851208
