,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,229.717336885,10.0,233.713166035,img/A/outside_nat\sun_atjvpizdlvlfluni.png,Outdoor,241.7213758,16.0,239.715141922,Left,0,1,0,1.0,8.0,231.726398808
1,24.0,247.706825419,28.0,251.719372966,img/A/outside_man\sun_azxxdozadjohyntn.png,Outdoor,259.710852085,34.0,257.721222516,Right,1,1,1,2.0,26.0,249.712951858
2,38.0,261.717041167,42.0,265.712873117,img/A/inside\sun_aawinctpjwdokiof.png,Indoor,273.721076232,48.0,271.714874551,Left,2,1,2,3.0,40.0,263.70662839
3,54.0,277.716888934,58.0,281.712741881,img/A/inside\sun_anikjvdrxrywuyvr.png,Indoor,291.710573165,66.0,289.721074132,NearLeft,3,1,3,4.0,56.0,279.706479306
4,70.0,293.716763647,74.0,297.71256375,,None,305.720782614,80.0,303.714580932,Left,4,1,4,5.0,72.0,295.706329172
5,84.0,307.710410432,88.0,311.706198287,img/A/outside_man\sun_bwlcxhprfyrowoam.png,Outdoor,319.714448647,94.0,317.708211969,NearRight,5,1,5,6.0,86.0,309.716598465
6,98.0,321.720698273,102.0,325.71645498,img/A/inside\sun_auipycrgwmfcakvq.png,Indoor,333.708082833,108.0,331.718473913,Right,6,1,6,7.0,100.0,323.710257149
7,116.0,339.710125213,120.0,343.705914817,img/A/inside\sun_baremcyvmmyztjyo.png,Indoor,351.714149779,126.0,349.707935149,NearRight,7,1,7,8.0,118.0,341.716301697
8,136.0,359.722383341,140.0,363.718192893,,None,373.716038525,148.0,371.729496674,Left,8,1,8,9.0,138.0,361.711990162
9,158.0,381.707640131,162.0,385.720064491,,None,393.711816931,168.0,391.722082023,NearRight,9,1,9,10.0,160.0,383.713831663
10,172.0,395.717902424,176.0,399.713711626,img/A/outside_nat\sun_ajpdesmpmbcnhujq.png,Outdoor,407.721933289,182.0,405.715748407,NearRight,10,1,10,11.0,174.0,397.707494197
11,190.0,413.707361911,194.0,417.719756524,,None,425.711378428,200.0,423.721807653,Right,11,1,11,12.0,192.0,415.713549244
12,204.0,427.717634703,208.0,431.713434456,,None,439.721669768,214.0,437.715446039,NearRight,12,1,12,13.0,206.0,429.707210377
13,218.0,441.711489716,222.0,445.707067243,,None,453.715316903,228.0,451.709097724,NearLeft,13,1,13,14.0,220.0,443.717466721
14,234.0,457.711117706,238.0,461.706931457,,None,471.721387698,246.0,469.715177618,Right,14,1,14,15.0,236.0,459.717333736
15,250.0,473.710975271,254.0,477.706803021,img/A/outside_nat\sun_biykcvrzhhhqlcep.png,Outdoor,489.710818838,264.0,487.721231965,Right,15,1,15,16.0,252.0,475.7171955
16,270.0,493.706646938,274.0,497.719094396,img/A/inside\sun_bsmswguoyiamatyu.png,Indoor,507.716902232,282.0,505.710732747,Right,16,1,16,17.0,272.0,495.712860168
17,286.0,509.706504853,290.0,513.718912415,img/A/inside\sun_agxipqjrftuwlwpl.png,Indoor,523.716765047,298.0,521.710538168,NearLeft,17,1,17,18.0,288.0,511.712690786
18,304.0,527.71256305,308.0,531.708396399,img/A/outside_nat\sun_ahqrsjhcscxlyxuq.png,Outdoor,541.706242032,316.0,539.716635911,NearLeft,18,1,18,19.0,306.0,529.718750383
19,326.0,549.714463695,330.0,553.710259599,,None,561.718485111,336.0,559.712264532,NearLeft,19,1,19,20.0,328.0,551.720656627
20,340.0,563.708125179,344.0,567.720514892,img/A/outside_man\sun_aqvlqqorjorxjwnh.png,Outdoor,575.712125597,350.0,573.722535575,NearLeft,20,1,20,21.0,342.0,565.714317761
21,354.0,577.718350376,358.0,581.714170777,img/A/inside\sun_auywjwqsitnzurig.png,Indoor,591.711983863,366.0,589.72239139,NearRight,21,1,21,22.0,356.0,579.707978195
22,370.0,593.718228239,374.0,597.714009444,img/A/outside_man\sun_aaafvavryivlwifa.png,Outdoor,609.718068656,384.0,607.711851577,Left,22,1,22,23.0,372.0,595.724411722
23,394.0,617.709681461,398.0,621.705510611,img/A/inside\sun_ahvaoneopufydell.png,Indoor,629.713731224,404.0,627.707535492,Left,23,1,23,24.0,396.0,619.715963283
