,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,133.136314149,10.0,137.119575804,img/B/outside_man\sun_abvparldyjthmojd.png,Outdoor,145.119483414,16.0,143.13620776,Right,0,1,0,1.0,8.0,135.119592952
1,20.0,147.119557256,24.0,151.119462766,img/B/inside\sun_aanbmbnyyowsobsg.png,Indoor,159.119413421,30.0,157.136102771,Left,1,1,1,2.0,22.0,149.119465566
2,34.0,161.119340979,38.0,165.11932908,img/B/outside_nat\sun_aaqyzvrweabdxjzo.png,Outdoor,173.135960687,44.0,171.135973985,NearRight,2,1,2,3.0,36.0,163.136028579
3,50.0,177.135938639,54.0,181.119182796,,None,189.135824551,60.0,187.135834,Right,3,1,3,4.0,52.0,179.119214293
4,64.0,191.119168098,68.0,195.119163198,,None,205.136101371,76.0,203.13573951,NearRight,4,1,4,5.0,66.0,193.119129602
5,80.0,207.135710464,84.0,211.118924874,img/B/inside\sun_aaguxgrqaehrwaip.png,Indoor,219.135579928,90.0,217.135586927,Right,5,1,5,6.0,82.0,209.13565342
6,100.0,227.135516235,104.0,231.135482288,,None,239.135432944,110.0,237.135384999,Left,6,1,6,7.0,102.0,229.13546409
7,118.0,245.1353759,122.0,249.135306957,,None,259.135248863,130.0,257.135255863,NearLeft,7,1,7,8.0,120.0,247.135309757
8,134.0,261.135224716,138.0,265.135207918,img/B/outside_nat\sun_aaansjgvhbrbxvvk.png,Outdoor,275.135112028,146.0,273.135141775,Left,8,1,8,9.0,136.0,263.135214217
9,156.0,283.135036086,160.0,287.13500669,img/B/inside\sun_0ktvuinccdrmemdb.png,Indoor,297.134921649,168.0,295.134931798,NearLeft,9,1,9,10.0,158.0,285.135012639
10,178.0,305.134850256,182.0,309.134832058,img/B/outside_nat\sun_aalzlpkakxhogvru.png,Outdoor,319.134810711,190.0,317.134754017,Left,10,1,10,11.0,180.0,307.134791113
11,194.0,321.134728819,198.0,325.134688574,img/B/outside_man\sun_aajuzribjrizdshh.png,Outdoor,333.134623481,204.0,331.134637129,NearLeft,11,1,11,12.0,196.0,323.134688924
12,214.0,341.134561888,218.0,345.134512193,img/B/outside_nat\sun_aalcoddsgakiyibg.png,Outdoor,353.134463898,224.0,351.134454449,Right,12,1,12,13.0,216.0,343.134551739
13,228.0,355.1344415,232.0,359.134465998,,None,367.134287517,238.0,365.134396355,Left,13,1,13,14.0,230.0,357.134403705
14,246.0,373.134392856,250.0,377.13426442,img/B/outside_man\sun_acfkaobymiptdeij.png,Outdoor,385.134189178,256.0,383.134340361,NearLeft,14,1,14,15.0,248.0,375.134255671
15,260.0,387.134153832,264.0,391.134139133,img/B/inside\sun_aasdufdzroddfmmw.png,Indoor,401.134016996,272.0,399.134061791,Left,15,1,15,16.0,262.0,389.134133184
16,276.0,403.134032745,280.0,407.134028895,img/B/inside\sun_aaqhalpndqfclyti.png,Indoor,419.133924606,290.0,417.133917607,Right,16,1,16,17.0,278.0,405.133990749
17,294.0,421.133895559,298.0,425.133867212,,None,435.13379617,306.0,433.133803169,NearLeft,17,1,17,18.0,296.0,423.133868612
18,310.0,437.133767823,314.0,441.133749625,,None,449.133685932,320.0,447.133670884,NearRight,18,1,18,19.0,312.0,439.133709379
19,328.0,455.133675433,332.0,459.133587943,,None,467.133505351,338.0,465.13352285,Right,19,1,19,20.0,330.0,457.133592842
20,346.0,473.133478054,350.0,477.133435709,img/B/outside_man\sun_abiwezihcfaufuiw.png,Outdoor,485.133358017,356.0,483.133392314,NearRight,20,1,20,21.0,348.0,475.133456007
21,360.0,487.133362917,364.0,491.133290475,img/B/inside\sun_acerznjesvvkvymi.png,Indoor,499.133275776,370.0,497.133281726,NearRight,21,1,21,22.0,362.0,489.13333562
22,374.0,501.133262128,378.0,505.133235531,img/B/inside\sun_aaqqcbxvhtgfloyu.png,Indoor,517.133133692,388.0,515.133123543,NearRight,22,1,22,23.0,376.0,503.133228881
23,394.0,521.133074898,398.0,525.133067899,img/B/inside\sun_aaeivpaottmutnqm.png,Indoor,533.132993357,404.0,531.132983208,NearLeft,23,1,23,24.0,396.0,523.133085397
